,fileid,prediction
0,MLSP_test1301172.npy,Bark
1,MLSP_test113179.npy,Crying_and_sobbing
2,MLSP_test1865154.npy,Meow
3,MLSP_test896150.npy,Knock
4,MLSP_test485355.npy,Bark
5,MLSP_test688497.npy,Doorbell
6,MLSP_test130845.npy,Bark
7,MLSP_test489164.npy,Knock
8,MLSP_test1553343.npy,Shatter
9,MLSP_test286435.npy,Bark
10,MLSP_test997159.npy,Crying_and_sobbing
11,MLSP_test2679170.npy,Microwave_oven
12,MLSP_test684486.npy,Doorbell
13,MLSP_test77893.npy,Meow
14,MLSP_test2559120.npy,Meow
15,MLSP_test1443477.npy,Crying_and_sobbing
16,MLSP_test8403.npy,Knock
17,MLSP_test210764.npy,Vehicle_horn_and_car_horn_and_honking
18,MLSP_test1968494.npy,Meow
19,MLSP_test572384.npy,Microwave_oven
20,MLSP_test68915.npy,Doorbell
21,MLSP_test149028.npy,Crying_and_sobbing
22,MLSP_test2158293.npy,Crying_and_sobbing
23,MLSP_test2462130.npy,Vehicle_horn_and_car_horn_and_honking
24,MLSP_test58686.npy,Shatter
25,MLSP_test2823431.npy,Crying_and_sobbing
26,MLSP_test303269.npy,Meow
27,MLSP_test968297.npy,Knock
28,MLSP_test2073257.npy,Siren
29,MLSP_test1116162.npy,Meow
30,MLSP_test2647496.npy,Crying_and_sobbing
31,MLSP_test6416.npy,Vehicle_horn_and_car_horn_and_honking
32,MLSP_test683408.npy,Doorbell
33,MLSP_test632353.npy,Doorbell
34,MLSP_test1077269.npy,Shatter
35,MLSP_test206085.npy,Bark
36,MLSP_test2109311.npy,Bark
37,MLSP_test574217.npy,Crying_and_sobbing
38,MLSP_test1163322.npy,Meow
39,MLSP_test3739.npy,Vehicle_horn_and_car_horn_and_honking
40,MLSP_test2471429.npy,Walk_and_footsteps
41,MLSP_test1404304.npy,Doorbell
42,MLSP_test620253.npy,Doorbell
43,MLSP_test592439.npy,Vehicle_horn_and_car_horn_and_honking
44,MLSP_test1277465.npy,Meow
45,MLSP_test1524204.npy,Crying_and_sobbing
46,MLSP_test432208.npy,Bark
47,MLSP_test901102.npy,Knock
48,MLSP_test616123.npy,Doorbell
49,MLSP_test1706153.npy,Knock
50,MLSP_test1602453.npy,Walk_and_footsteps
51,MLSP_test2072214.npy,Siren
52,MLSP_test1140162.npy,Siren
53,MLSP_test2068447.npy,Knock
54,MLSP_test682163.npy,Doorbell
55,MLSP_test6905.npy,Bark
56,MLSP_test1216256.npy,Doorbell
57,MLSP_test2153476.npy,Knock
58,MLSP_test6052.npy,Shatter
59,MLSP_test755223.npy,Bark
60,MLSP_test58819.npy,Crying_and_sobbing
61,MLSP_test2590367.npy,Walk_and_footsteps
62,MLSP_test7672.npy,Siren
63,MLSP_test942230.npy,Knock
64,MLSP_test2186214.npy,Vehicle_horn_and_car_horn_and_honking
65,MLSP_test1306499.npy,Meow
66,MLSP_test1053175.npy,Siren
67,MLSP_test1451403.npy,Bark
68,MLSP_test2144237.npy,Crying_and_sobbing
69,MLSP_test856170.npy,Knock
70,MLSP_test56548.npy,Crying_and_sobbing
71,MLSP_test49854.npy,Bark
72,MLSP_test63869.npy,Doorbell
73,MLSP_test6118.npy,Bark
74,MLSP_test5143.npy,Vehicle_horn_and_car_horn_and_honking
75,MLSP_test2472403.npy,Bark
76,MLSP_test2155260.npy,Vehicle_horn_and_car_horn_and_honking
77,MLSP_test7835.npy,Meow
78,MLSP_test2154380.npy,Siren
79,MLSP_test569232.npy,Siren
80,MLSP_test7443.npy,Vehicle_horn_and_car_horn_and_honking
81,MLSP_test88227.npy,Knock
82,MLSP_test1798478.npy,Shatter
83,MLSP_test2081207.npy,Siren
84,MLSP_test1186185.npy,Meow
85,MLSP_test639115.npy,Doorbell
86,MLSP_test213499.npy,Shatter
87,MLSP_test7723.npy,Siren
88,MLSP_test301421.npy,Bark
89,MLSP_test17186.npy,Knock
